id,description,size,price,product_code,typeid,qty_break,qty_discount,qty_instock,qty_ordered,special,clearance,can_backorder,status,cost,last_costed_date,display_order,barcode,color_name,color_background_color,color_background_image,shipping_weight,shipping_volume,shipping_container,notify_when_instock,source,new_product,core_product
3635,aaa,Medium 60x60xH10cm,1779,DB109C,592,0,0,0,0,0,0,n,active,923,0000-00-00,45,NA57,,FFFFFF,,0,0,,,B,0,0
3619,aaa,Large 90x90xH15cm,3995,DB110,584,0,0,0,0,0,0,n,active,1499,6/01/2012,5,932222901135,As Pictured,FFFFFF,,0,0,,,B,0,0
3637,aaa,Large 90x90xH15cm,2340,DB110C,592,0,0,0,0,0,0,n,active,0,0000-00-00,35,NA59,,FFFFFF,,0,0,,,B,0,0
3620,aaa,Medium 60x60xH10cm,2495,DB111,585,0,0,0,0,0,0,n,active,1123,26/10/2012,15,932222901136,As Pictured,FFFFFF,,0,0,,,B,0,0
3632,aaa,Medium 60x60xH10cm,1779,DB111C,592,0,0,0,0,0,0,n,active,923,0000-00-00,60,NA54,,FFFFFF,,0,0,,,B,0,0
3621,aaa,Large 90x90xH15cm,3995,DB112,585,0,0,0,0,0,0,n,active,1499,6/01/2012,5,932222901137,As Pictured,FFFFFF,,0,0,,,B,0,0
3634,aaa,Large 90x90xH15cm,2340,DB112C,592,0,0,0,0,0,0,n,active,1299,0000-00-00,50,NA56,,FFFFFF,,0,0,,,B,0,0
3717,aaa,85x66xH31cm,6136,DB113-lge,602,0,0,91,0,0,0,n,active,2282,18/02/2013,80,932222901156,Grey/Black,FFFFFF,,0,0,,y,F,0,0
3716,aaa,75x55xH28cm,5136,DB113-med,602,0,0,90,0,0,0,n,active,1898,18/02/2013,90,932222901155,Grey/Black,FFFFFF,,0,0,,y,F,0,0
3719,aaa,Set 4 Pieces,18250,DB113-set,602,0,0,0,0,0,0,n,active,8656,18/02/2013,60,NA82,Grey/Black,FFFFFF,,0,0,,y,B,0,0
3715,aaa,68x45xH25cm,4136,DB113-sml,602,0,0,93,0,0,0,n,active,1489,18/02/2013,100,932222901154,Grey/Black,FFFFFF,,0,0,,y,F,0,0
3718,aaa,95x75xH34cm,7136,DB113-xlg,602,0,0,88,0,0,0,n,active,2988,18/02/2013,70,932222901157,Grey/Black,FFFFFF,,0,0,,y,F,0,0
3721,aaa,75x55xH28cm,5136,DB114-med,602,1,30,0,0,0,1,n,active,1898,12/09/2012,8,932222901159,Brown/Coffee,FFFFFF,,0,0,,y,F,0,0
3628,aaa,Regular 70x70x13cm,3495,DB115,584,0,0,0,0,0,0,n,active,1264,23/10/2012,10,932222901144,As Pictured,FFFFFF,,0,0,,,B,0,0
3636,aaa,Regular 70x70xH13cm,2165,DB115C,592,0,0,0,0,0,0,n,active,1064,0000-00-00,40,NA58,,FFFFFF,,0,0,,,B,0,0
3629,aaa,Regular 70x70x13cm,3495,DB116,585,0,0,0,0,0,0,n,active,1264,23/10/2012,10,932222901145,As Pictured,FFFFFF,,0,0,,,B,0,0
3633,aaa,Regular 70x70xH13cm,2165,DB116C,592,0,0,0,0,0,0,n,active,1064,0000-00-00,55,NA55,,FFFFFF,,0,0,,,B,0,0
3748,aaa,Regular 70x70xH13cm,3495,DB120,552,0,0,0,0,0,0,n,active,1264,23/10/2012,10,932222901248,As Pictured,FFFFFF,,0,0,,,B,0,0
3750,aaa,Regular 70x70xH13cm,2165,DB120C,592,0,0,0,0,0,0,n,active,1064,0000-00-00,10,NA79,,FFFFFF,,0,0,,,B,0,0
3774,aaa,Large 110x140cm,4334,DB121-lge,529,0,0,0,0,0,0,y,active,1781,27/05/2011,58,932222901335,Latte/Biscuit Backed,FFFFFF,,0,0,,,B,0,0
3773,aaa,Medium 75x110cm,2000,DB121-med,529,0,0,2,0,0,0,y,active,923,27/05/2011,60,932222901334,Latte/Biscuit Backed,FFFFFF,,0,0,,,B,0,0
3786,aaa,85x66xHH31cm,6136,DB122-lge,602,0,0,51,0,0,0,n,active,2282,18/02/2013,12,932222901331,Blue/Grey,FFFFFF,,0,0,,y,F,0,0
3785,aaa,75x55xH28cm,5136,DB122-med,602,0,0,52,0,0,0,n,active,1898,18/02/2013,14,932222901330,Blue/Grey,FFFFFF,,0,0,,y,F,0,0
3788,aaa,Set 4 Pieces,18250,DB122-set,602,0,0,0,0,0,0,n,active,8656,18/02/2013,11,NA87,Blue/Grey,FFFFFF,,0,0,,y,B,0,0
