K9CXLG-fle,12.82
K9CXLG-fpa,12.82
K9CXLG-pur,12.82
K9CXLG-red,12.82
K9JSML-blu,9.00
K9JSML-pur,9.00
K9S20-blu,5.00
K9S20-pnk,5.00
K9S20-pur,5.00
K9S20-red,5.00
K9S25-blu,5.00
K9S25-pnk,5.00
K9S25-pur,5.00
K9S25-red,5.00
K9S30-blu,5.50
K9S30-pnk,5.50
K9S30-pur,5.50
K9S30-red,5.50
K9S35-blu,6.50
K9S35-pnk,6.50
K9S35-pur,6.50
K9S35-red,6.50
K9S40-blu,6.50
K9S40-pnk,6.50
K9S40-pur,6.50
K9S40-red,6.50
K9S45-blu,7.50
K9S45-pnk,7.50
K9S45-pur,7.50
K9S45-red,7.50
K9S50-blu,10.50
K9S50-pnk,10.50
K9S50-pur,10.50
K9S50-red,10.50
K9SLGE-blu,16.00
K9SLGE-pnk,16.00
K9SLGE-pur,16.00
K9SLGE-red,16.00
K9SMED-blu,13.50
